Date,Program,Eng_Certi,CEFR_level,SPK,LIS,REA,WRI,GPA_range,Eng_Compe,Affected_rate,4. Các bạn đang gặp phải những khó khăn gì trong việc tiếp thu những môn học được giảng dạy bằng tiếng Anh?
02/10/2023 14:26:20,MAS,NO,NO,3,5,4,4,"2,5 - 3",NO,YES,Đôi khi khó giao tiếp với giáo viên 
02/10/2023 14:38:39,MAS,IELTS,B2,7,7,7,6,"3 - 3,5",YES,YES,Hiện tại mình chưa thấy gặp bất kỳ khó khăn nào
02/10/2023 14:40:23,MAS,APTIS,B2,7,6,5,5,"3 - 3,5",NO,YES,Mình không nắm bắt được toàn bộ bài giảng
02/10/2023 14:40:43,HAT,VSTEP,B2,7,8,8,6,"2,5 - 3",YES,YES,không có song ngữ để so sánh nội dung tiếp thu
02/10/2023 14:49:47,HAT,APTIS,C2,9,9,8,7,"3 - 3,5",YES,YES,"Tớ nghĩ là tùy môn học thì trình độ nói tiếng Anh của mỗi thầy cô cũng khác nhau, dẫn tới không phải thầy cô nào nói tiếng Anh tớ cũng hiểu và theo kịp."
02/10/2023 14:54:03,MET,IELTS,B2,7,7,7,6,"3 - 3,5",YES,YES,Mình không cảm thấy có những khó khăn nào
02/10/2023 14:57:16,MAC,VSTEP,B1,5,5,4,5,"2,5 - 3",Chưa từng tham gia,YES,Khó theo kịp bài giảng 
02/10/2023 15:01:53,MAS,IELTS,B2,6,7,7,6,"2,5 - 3",Chưa từng tham gia,Không ảnh hưởng,khong co
02/10/2023 15:31:49,MAS,APTIS,B2,5,4,5,4,"2,5 - 3",Chưa từng tham gia,YES,không
02/10/2023 17:01:42,MAS,APTIS,B2,3,5,6,4,"3 - 3,5",Chưa từng tham gia,YES,"Do trình độ bản thân còn thấp, không tiếp thu hết được bài giảng"
02/10/2023 17:36:40,MET,IELTS,B2,8,8,8,8,"2,5 - 3",YES,YES,K
02/10/2023 21:09:58,MET,IELTS,B2,7,8,7,7,"2,5 - 3",YES,Không ảnh hưởng,Từ vựng mới
02/10/2023 22:00:55,MET,APTIS,B2,5,6,5,6,"2,5 - 3",YES,YES,nhiều từ chuyên ngành
02/10/2023 22:06:38,MET,APTIS,B2,3,3,3,3,"2 - 2,5",YES,YES,Có
02/10/2023 23:12:42,MET,APTIS,C1,6,6,6,6,"3 - 3,5",Chưa từng tham gia,Có ảnh hưởng,Thiếu vốn từ vựng để hiểu bài
03/10/2023 2:41:30,HAT,APTIS,B2,6,7,8,7,"3 - 3,5",YES,Có ảnh hưởng,"Có quá nhiều từ vựng cần phải nhớ, phát âm của mình đôi khi còn chưa chuẩn. Mình chưa có phương pháp thật phù hợp với bản thân"
03/10/2023 8:11:47,MAC,APTIS,B2,6,8,8,7,"2,5 - 3",Chưa từng tham gia,Có ảnh hưởng,thi thoảng k hiểu gvien nói j 
03/10/2023 8:22:54,MET,APTIS,B2,5,7,7,5,"2,5 - 3",YES,Có ảnh hưởng,kho hieu
03/10/2023 14:41:23,HAT,TOEIC,B2,7,8,7,7,"2,5 - 3",Chưa từng tham gia,Có ảnh hưởng,Không hiểu bài
03/10/2023 14:50:58,MET,VSTEP,B1,7,6,6,5,"2,5 - 3",Chưa từng tham gia,Có ảnh hưởng,lên năm 3 hầu như nghe không hiểu
03/10/2023 14:54:19,MAC,IELTS,C1,8,8,9,7,"3 - 3,5",YES,YES,Nhiều thầy cô nói hơi khó nghe
03/10/2023 14:55:04,MAS,VSTEP,B2,8,7,7,6,"2,5 - 3",Chưa từng tham gia,YES,thầy cô nói tiếng Anh nhanh 
03/10/2023 14:55:50,MAC,TOEIC,B2,7,9,9,6,"3 - 3,5",Chưa từng tham gia,Không ảnh hưởng,hiện tại vẫn chưa
03/10/2023 14:59:09,MAC,IELTS,B2,5,4,5,4,"2,5 - 3",Chưa từng tham gia,YES,Difficult to talk with teacher 
03/10/2023 15:02:37,MET,TOEIC,B1,6,4,6,5,"3 - 3,5",Chưa từng tham gia,YES,Đôi lúc thầy cô nói nhanh 
03/10/2023 15:05:35,HAT,OTHERS,B1,7,6,6,5,"3 - 3,5",Chưa từng tham gia,YES,Có khá nhiều văn bản chuyên ngành còn hơi khó khăn trong việc đọc và hiểu rõ
03/10/2023 15:08:17,MAC,IELTS,B1,6,7,6,5,"2,5 - 3",Chưa từng tham gia,YES,Giao tiếp hạn chế
03/10/2023 15:21:29,MET,APTIS,B2,5,4,5,4,"2 - 2,5",Chưa từng tham gia,YES,Nghe hơi kém thầy cô nói hơi nhanh khó tiếp thu
03/10/2023 15:26:31,HAT,NO,NO,3,4,4,3,"2,5 - 3",Chưa từng tham gia,YES,Không có vde vì về nhà tự tìm hiểu
03/10/2023 15:28:18,HAT,VSTEP,B2,3,5,5,5,"2,5 - 3",Chưa từng tham gia,YES,Đôi khi nghe khó hiểu vì thầy cô nước ngoài nói nhanh
03/10/2023 15:38:34,MAS,NO,NO,6,5,5,3,"2,5 - 3",Chưa từng tham gia,YES,Nhiều từ chuyên ngành mới chưa từng gặp qua dẫn đến việc khó tiếp thu kiến thức.
03/10/2023 15:46:38,MAC,APTIS,C1,4,4,3,4,"2,5 - 3",Chưa từng tham gia,YES,Nhiều từ ngữ chuyên ngành quá
03/10/2023 15:53:41,MAS,APTIS,B2,2,4,5,5,"2 - 2,5",YES,YES,Từ vựng
03/10/2023 15:54:38,HAT,OTHERS,B1,4,6,6,5,"3 - 3,5",Chưa từng tham gia,YES,Không có
03/10/2023 15:59:23,MET,IELTS,B1,5,8,6,6,"2,5 - 3",Chưa từng tham gia,YES,Bản thân những môn dạy bằng tiếng anh học sinh chỉ có thể nắm đc 70-85% thôi
03/10/2023 16:02:20,MET,TOEIC,B1,4,5,7,4,"3,5 - 4",Chưa từng tham gia,Không ảnh hưởng,Không có vấn đề
03/10/2023 16:05:27,MAC,IELTS,A2,7,7,7,7,"2,5 - 3",Chưa từng tham gia,YES,Khó hiểu hoàn toàn và chính xác nội dung
03/10/2023 16:19:01,MAC,TOEIC,B2,5,5,5,5,"3 - 3,5",Chưa từng tham gia,YES,Không
03/10/2023 16:33:02,HAT,VSTEP,B2,5,4,6,6,"2 - 2,5",Chưa từng tham gia,YES,Tiếng anh khó tiếp thu và nhớ hơn tiếng Việt
03/10/2023 16:39:02,MAC,TOEIC,B1,2,5,6,5,"2,5 - 3",Chưa từng tham gia,Không ảnh hưởng,Khó hiểu dẫn đến khó nhớ do từ chuyên ngành
03/10/2023 19:52:29,MAS,APTIS,B2,6,6,6,6,"3 - 3,5",Chưa từng tham gia,YES,Khó hoàn thành yêu cầu trên lớp 
03/10/2023 19:53:57,MET,IELTS,B2,6,6,6,5,"2,5 - 3",YES,Có ảnh hưởng,Mình không mắc những khó khăn nào
03/10/2023 19:55:36,MET,IELTS,C1,6,8,8,6,"3 - 3,5",Chưa từng tham gia,Có ảnh hưởng,Mình rất tự tin với khả năng tiếng anh của bản thân
03/10/2023 19:58:39,HAT,IELTS,C1,6,9,9,6,"2,5 - 3",Chưa từng tham gia,Có ảnh hưởng,Dễ hiểu 
03/10/2023 19:59:53,MAC,APTIS,B2,5,6,6,5,"2,5 - 3",Chưa từng tham gia,Có ảnh hưởng,Không hiểu hết ý nghĩa bài giảng
03/10/2023 20:04:36,MET,IELTS,C1,8,8,6,7,"3 - 3,5",Chưa từng tham gia,Có ảnh hưởng,.
03/10/2023 20:08:09,MAC,APTIS,B1,6,6,7,4,"2,5 - 3",Chưa từng tham gia,Có ảnh hưởng,khó hiểu quá
03/10/2023 20:08:58,HAT,VSTEP,B2,7,4,5,6,"2,5 - 3",YES,Có ảnh hưởng, 
03/10/2023 20:12:37,MAC,TOEIC,C2,9,8,10,7,"3 - 3,5",Chưa từng tham gia,Có ảnh hưởng, 
03/10/2023 20:13:27,MAS,TOEIC,B1,5,4,6,3,"2,5 - 3",Đã từng tham gia,Có ảnh hưởng, 
03/10/2023 20:14:37,MAS,APTIS,B2,7,9,9,8,"2,5 - 3",Đã từng tham gia,Có ảnh hưởng, 
03/10/2023 20:15:18,MET,IELTS,B2,7,8,8,7,"3 - 3,5",Đã từng tham gia,Có ảnh hưởng, 
03/10/2023 20:16:10,MET,NO,NO,5,4,6,5,"2,5 - 3",Đã từng tham gia,Có ảnh hưởng, 
03/10/2023 20:17:01,HAT,VSTEP,C1,8,7,7,6,"3 - 3,5",Chưa từng tham gia,Có ảnh hưởng, 
03/10/2023 20:22:18,MAS,APTIS,B2,6,6,7,5,"2,5 - 3",Chưa từng tham gia,Có ảnh hưởng, 
03/10/2023 20:23:36,MAC,IELTS,B1,5,6,7,4,"2,5 - 3",Chưa từng tham gia,Có ảnh hưởng, 
